LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Rcallext,"ALPHA BLACK TO BRAVO BLACK. REQUESTING EXTRACTION TO THE PREPLANNED COORDINATES. OVER.",alpha

STRM_Rcoming,"BRAVO BLACK TO ALPHA BLACK. COPY. LIFTING OFF NOW, STAY PUT. OVER.",bravo
STRM_Rextract,"ALPHA GET READY FOR EXTRACTION. OVER.",bravo

STRM_Rmcomplete,"PAPA BEAR TO ALPHA BLACK. WELCOME HOME FROM YOUR THREE DAY PATROL. OVER.",hq

STRD_Rmissname,"Scud Hunt 2, Day 3",missionname
STRL_Rload,"Day 3, in the forest. The last day.",loadname
