LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead,"ALPHA BLACK TO PAPA BEAR. WE HAVE CAPTURE THE BASE. OVER.",alpha
STRM_Rsupport,"PAPA BEAR THIS IS ALPHA BLACK. ENEMY TANKS SPOTTED IN THE ROAD GRID COORDINATES FOXTROT FOXTROT FOUR FOUR. REQUESTING IMMEDIATE CLOSE AIR SUPPORT. DO YOU COPY.",alpha

STRM_Rinsert,"INSERTING TROOPS. OVER.",helo

STRM_Rsuppok,"THIS IS PAPA BEAR. COPY CLOSE AIR SUPPORT. SENDING GUNSHIP NOW. HOLD TIGHT. OVER.",hq
STRM_Rbackup,"PAPA BEAR TO ALPHA. ROGER THAT WE ARE SENDING YOU SOME BACKUP. OVER.",hq
STRM_Rmcomplete,"PAPA BEAR TO ALL FORCES. WE HAVE THE BASE. MISSION ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Righteous Path",missionname
STRL_Rload,"Path to the enemy base!",loadname
